Country,Year,CRPND
Bangladesh,2011,76
Botswana,2011,93.43
Cambodia,2014,72.5
Cambodia,2021,83.01
Colombia,2010,91.1
Dominican Republic,2010,82.61
Gambia,2013,62.1
Maldives,2017,98.91
Mali,2018,47.36
Nepal,2011,72.94
Niger,2018,26.28
Nigeria,2018,69.81
Pakistan,2018,60.4
Philippines,2010,87.06
Puerto Rico,2010,99.68
Rwanda,2012,33.58
South Africa,2016,96.83
South Africa,2020,98.01
South Africa,2021,98.38
Timor-Leste,2016,80.88
Uganda,2011,39.5
United Republic of Tanzania,2012,79.94
Zambia,2010,67.15
