Country,Year,PSEB_12LSE
Afghanistan,2014,1.06
Albania,2014,0.77
Algeria,2011,1.13
Anguilla,2016,1.26
Argentina,2012,0.98
Armenia,2014,0.6
Austria,2014,0.83
Bahamas,2013,0.89
Bahrain,2016,0.64
Bangladesh,2014,0.64
Barbados,2011,0.71
Belize,2011,1.03
Benin,2016,1.08
Bhutan,2016,0.93
Bolivia (Plurinational State of),2012,0.89
Brunei Darussalam,2014,0.86
Bulgaria,2014,0.92
Cambodia,2013,0.99
Canada,2014,1.15
Chile,2013,0.88
Cook Islands,2015,1.08
Croatia,2014,0.94
Czechia,2014,0.91
Denmark,2014,1.02
Dominican Republic,2016,0.85
Egypt,2011,0.99
El Salvador,2013,1.14
Estonia,2014,0.95
Eswatini,2013,0.94
Fiji,2016,0.78
Finland,2014,0.79
France,2014,0.95
French Polynesia,2015,0.92
Germany,2014,1.03
Ghana,2012,1.04
Greece,2014,0.93
Greenland,2014,0.95
Guatemala,2015,0.75
Guyana,2010,0.91
Honduras,2012,1
Hungary,2014,1
Iceland,2014,0.86
Indonesia,2015,0.8
Iraq,2012,0.68
Ireland,2014,1.09
Israel,2014,0.49
Italy,2014,0.8
Jamaica,2017,0.94
Kiribati,2011,0.76
Kuwait,2015,0.77
Lao People's Democratic Republic,2015,0.74
Latvia,2014,1.02
Lebanon,2017,0.49
Lithuania,2014,0.99
Luxembourg,2014,1.09
Malaysia,2012,0.74
Maldives,2014,0.97
Malta,2014,0.71
Mauritania,2010,0.96
Mauritius,2011,0.7
Mongolia,2013,0.7
Morocco,2016,0.72
Mozambique,2015,1.03
Myanmar,2016,0.95
Namibia,2013,0.95
Nauru,2011,0.95
Nepal,2015,0.81
Netherlands,2014,1.03
North Macedonia,2014,0.73
Norway,2014,0.9
Oman,2015,0.87
Paraguay,2017,0.76
Peru,2010,1.03
Philippines,2015,0.92
Poland,2014,0.89
Portugal,2014,0.84
Qatar,2011,0.71
Republic of Moldova,2014,1.04
Romania,2014,0.85
Russian Federation,2014,0.9
Saint Kitts and Nevis,2011,0.82
Samoa,2011,0.88
Seychelles,2015,1.11
Slovakia,2014,0.87
Slovenia,2014,0.74
Solomon Islands,2011,1.05
Spain,2014,0.7
Sri Lanka,2016,0.57
Sweden,2014,1.17
Switzerland,2014,0.96
Thailand,2015,0.73
Timor-Leste,2015,0.64
Tokelau,2014,1.01
Tonga,2017,0.67
Trinidad and Tobago,2011,0.73
Tuvalu,2013,0.37
Ukraine,2014,0.96
United Arab Emirates,2016,0.67
United Republic of Tanzania,2014,1.11
Uruguay,2012,1.13
Vanuatu,2011,0.98
Viet Nam,2013,1
Yemen,2014,0.71
